date,PCEPILFE
2024-03-01,121.829
2024-04-01,122.14
2024-05-01,122.239
2024-06-01,122.51
2024-07-01,122.722
2024-08-01,122.926
2024-09-01,123.234
2024-10-01,123.595
2024-11-01,123.716
2024-12-01,123.98
2025-01-01,124.407
2025-02-01,124.999
2025-03-01,125.118
2025-04-01,125.288
2025-05-01,125.512
