GDP
10002.179
10247.72
10318.165
10435.744
10470.231
10599.0
10598.02
10660.465
10783.5
10887.46
10984.04
11061.433
11174.129
11312.766
11566.669
11772.234
11923.447
12112.815
12305.307
12527.214
12767.286
12922.656
13142.642
13324.204
13599.16
13753.424
13870.188
14039.56
14215.651
14402.082
14564.117
14715.058
14706.538
14865.701
14898.999
14608.209
14430.902
14381.236
14448.882
14651.249
14764.61
14980.193
15141.607
15309.474
15351.448
15557.539
15647.68
15842.259
16068.805
16207.115
16319.541
16420.419
16648.189
16728.687
16953.838
17192.019
17197.738
17518.508
17804.228
17912.079
18063.529
18279.784
18401.626
18435.137
18525.933
18711.702
18892.639
19089.379
19280.084
19438.643
19692.595
20037.088
20328.553
20580.912
20798.73
20917.867
21111.6
21397.938
21717.171
21933.217
21727.657
19935.444
21684.551
22068.767
22656.793
23368.861
23921.991
24777.038
25215.491
25805.791
26272.011
26734.277
27164.359
27453.815
27967.697
28296.967
28624.069
29016.714
29374.914
29723.864
29962.047
