PCEPI
72.961
73.191
73.505
73.444
73.505
73.754
73.939
73.934
74.252
74.353
74.457
74.571
74.932
75.048
75.055
75.187
75.385
75.518
75.493
75.484
75.227
75.492
75.441
75.363
75.431
75.558
75.763
76.08
76.13
76.225
76.393
76.543
76.681
76.821
76.897
76.971
77.201
77.526
77.725
77.593
77.504
77.588
77.816
78.079
78.323
78.333
78.432
78.605
78.909
79.077
79.199
79.346
79.604
79.831
79.905
79.946
80.104
80.448
80.758
80.801
80.907
81.132
81.375
81.603
81.649
81.7
82.046
82.377
83.172
83.305
83.131
83.131
83.534
83.584
83.746
84.135
84.361
84.569
84.858
85.125
84.902
84.702
84.731
85.032
85.316
85.581
85.894
86.096
86.346
86.529
86.661
86.72
87.054
87.318
87.781
87.984
88.206
88.382
88.635
88.799
89.18
89.827
90.245
90.172
90.247
89.651
88.593
88.098
88.108
88.266
88.169
88.295
88.387
88.912
88.922
89.18
89.324
89.663
89.887
89.939
90.136
90.134
90.261
90.31
90.339
90.301
90.378
90.502
90.592
90.881
91.062
91.268
91.542
91.797
92.166
92.557
92.838
92.819
92.977
93.196
93.327
93.329
93.52
93.574
93.894
94.104
94.284
94.408
94.302
94.254
94.288
94.605
94.893
95.174
95.109
95.094
95.275
95.614
95.488
95.391
95.461
95.673
95.792
95.934
95.976
96.103
96.246
96.414
96.614
96.66
96.815
96.987
97.147
97.253
97.391
97.379
97.413
97.384
97.291
97.12
96.654
96.825
97.008
97.094
97.327
97.516
97.605
97.612
97.477
97.477
97.538
97.456
97.496
97.445
97.673
97.993
98.153
98.325
98.342
98.479
98.666
98.868
98.901
99.071
99.451
99.586
99.535
99.725
99.682
99.766
99.803
100.027
100.4
100.531
100.675
100.821
101.199
101.416
101.524
101.766
101.941
102.029
102.137
102.208
102.418
102.595
102.63
102.701
102.648
102.836
103.069
103.36
103.435
103.484
103.622
103.67
103.733
103.917
104.024
104.307
104.419
104.541
104.252
103.817
103.914
104.233
104.564
104.887
105.046
105.106
105.225
105.69
106.083
106.471
107.032
107.632
108.184
108.748
109.275
109.72
110.047
110.741
111.51
112.221
112.776
113.489
114.489
114.845
115.542
116.631
116.662
117.002
117.377
117.891
118.221
118.403
119.007
119.401
119.553
119.97
120.14
120.435
120.598
120.965
121.387
121.421
121.415
121.602
122.115
122.494
122.912
123.234
123.224
123.369
123.575
123.727
123.939
124.265
124.399
124.769
125.239
125.772
125.791
125.939
126.11
