,SARIMA_forecast,SARIMA_lower,SARIMA_upper,Prophet_forecast,Prophet_lower,Prophet_upper,Ensemble_forecast,Ensemble_lower,Ensemble_upper
2025-07-01,2.033520308152551,1.4239168693874342,2.6431237469176674,4.157266119733468,2.0424064298688167,6.178967146727244,3.0953932139430096,1.7684799510713352,4.434240992823173
2025-08-01,2.047256530887979,0.8973938874822329,3.197119174293725,4.1768784047972725,2.24232571247085,6.225373431360581,3.1120674678426257,1.5353735755660725,4.702390123464392
2025-09-01,2.131635246766808,0.5895713517163261,3.67369914181729,4.179547517697373,2.1509819633190106,6.239427193917416,3.1555913822320907,1.407131103240252,4.937213850493251
2025-10-01,2.134457639864223,0.26472915658387364,4.004186123144573,4.193537710025446,2.3684292841768664,6.248786687272439,3.1639976749448344,1.2465869916212773,5.143648611136529
2025-11-01,2.036183609408078,-0.14313754876616036,4.215504767582317,4.205724210845861,2.1708940895860964,6.169031634973549,3.1209539101269694,1.000705807856501,5.1995092630071635
2025-12-01,1.8388312183332718,-0.6287052582094086,4.306367694875952,4.226932010333628,2.3150712957843482,6.300456921731999,3.0328816143334496,0.7690924507302512,5.253196404238431
2026-01-01,1.8167797213459786,-0.913074434146816,4.546633876838773,4.2852049826167224,2.3138122974220368,6.390264212853746,3.0509923519813507,0.6588993004145184,5.37001485440905
2026-02-01,1.9253952532893372,-1.0460348684134873,4.8968253749921615,4.294378791660637,2.196235026391635,6.167404127563268,3.109887022474987,0.5680610031660646,5.612181332349264
2026-03-01,2.111548659156161,-1.085745323524303,5.308842641836625,4.274205416414141,2.343780925333431,6.2958126647057515,3.192877037785151,0.5377352913569653,5.758520733575356
2026-04-01,2.206330833818375,-1.2033190986848084,5.615980766321559,4.303514855541195,2.358532602300637,6.424878234243828,3.2549228446797853,0.45793086445580844,5.975607086169795
2026-05-01,2.2171283719035793,-1.3929205209328166,5.827177264739975,4.315582902140518,2.423947502375116,6.473215820859774,3.2663556370220483,0.5003211231558671,6.118338748080527
2026-06-01,2.3149730971795317,-1.4852047469332672,6.115150941292331,4.3051870308328475,2.364340173429919,6.332507528091023,3.31008006400619,0.38010629205206836,6.233284048493827
